PrincipalComponent0,PrincipalComponent1
2.81824,-5.64635
2.78822,-5.14995
2.61337,-5.182
2.75702,-5.00865
2.77365,-5.65371
3.22151,-6.06828
2.68183,-5.23749
2.87622,-5.49034
2.61598,-4.74864
2.82961,-5.21318
2.99542,-5.97202
2.88961,-5.34168
2.71626,-5.09184
2.27856,-4.81556
2.85761,-6.50572
3.11633,-6.66501
2.87884,-6.13763
2.85407,-5.6388
3.30254,-6.19979
2.91438,-5.84051
3.19211,-5.7183
2.95866,-5.75995
2.28643,-5.46042
3.19963,-5.42566
3.14661,-5.28967
2.9957,-5.18094
3.03355,-5.4579
2.94005,-5.69467
2.86283,-5.63899
2.87038,-5.12999
2.91497,-5.12263
3.09243,-5.73788
2.8535,-6.14032
2.90363,-6.4201
2.86544,-5.20563
2.63612,-5.39632
2.87713,-5.92632
2.70168,-5.5956
2.52186,-4.83899
2.91236,-5.556
2.73226,-5.59048
2.653,-4.38599
2.50496,-4.98503
3.09675,-5.51582
3.29288,-5.76362
2.78791,-5.07674
2.96422,-5.83072
2.6629,-5.09901
2.95928,-5.90636
2.79901,-5.43466
6.78719,-6.01211
6.43485,-5.64529
6.96667,-5.83122
5.68568,-4.49899
6.59047,-5.40154
6.14403,-4.90871
6.59743,-5.61042
4.75324,-4.32206
6.5465,-5.55531
5.49362,-4.60387
4.99452,-4.06098
6.01406,-5.22297
5.76734,-4.77692
6.4873,-5.20213
5.32844,-5.0721
6.43023,-5.79413
6.16265,-4.97398
5.73847,-4.99334
6.4471,-4.78381
5.54759,-4.74312
6.61865,-5.24234
5.86025,-5.25803
6.80055,-4.99917
6.42409,-5.14421
6.21722,-5.47601
6.40254,-5.65546
6.83439,-5.57139
7.06017,-5.59445
6.31566,-5.1636
5.19678,-4.95869
5.43424,-4.62178
5.31274,-4.64667
5.63879,-5.01292
6.88239,-4.906
6.09037,-4.84267
6.30922,-5.52113
6.72306,-5.73457
6.31746,-4.95492
5.74832,-5.05843
5.66878,-4.64503
5.96717,-4.65624
6.39318,-5.29249
5.73291,-4.92257
4.79783,-4.3147
5.85935,-4.82204
5.8343,-5.1143
5.87858,-5.03373
6.14494,-5.34469
4.5959,-4.57086
5.80137,-4.97805
8.03356,-5.3171
6.9176,-4.75204
8.11904,-5.67086
7.4739,-5.14722
7.85237,-5.28669
8.8994,-5.87779
6.0236,-4.13419
8.43495,-5.68245
7.82359,-5.08312
8.41912,-6.10974
7.16414,-5.56918
7.30577,-5.11131
7.66796,-5.54323
6.84853,-4.55013
7.08829,-4.78731
7.40682,-5.4462
7.45205,-5.3689
8.98942,-6.50269
9.29801,-5.58428
6.80316,-4.5658
7.93018,-5.70515
6.70137,-4.72086
9.00229,-5.78763
6.89113,-5.12255
7.7778,-5.66194
8.11646,-5.88785
6.76087,-5.14725
6.7935,-5.21028
7.62597,-5.11722
7.89037,-5.79159
8.34404,-5.70222
8.73304,-6.70112
7.6618,-5.10967
6.94653,-5.18354
7.28366,-4.82705
8.57887,-6.01504
7.64661,-5.46702
7.40746,-5.37625
6.67169,-5.16196
7.60998,-5.69924
7.81652,-5.5106
7.42463,-5.73616
6.9176,-4.75204
8.06538,-5.60482
7.92111,-5.63175
7.44647,-5.51448
7.02953,-4.95164
7.26671,-5.40581
7.40331,-5.44358
6.89255,-5.04429
